,driverid,Total Miles,model,Model Miles,truckid,event,latitude,longitude,city,state,velocity,event_ind,idling_ind,COUNTY,County,TOTAL_CRASHES,ROAD_MILES,Danger,event_weight
18,A1,628507,Freightliner,3228841,A1,unsafe tail distance,38.693723,-119.779683,Markleeville,California,16,1,0,,,,,1.0,1.0
19,A1,628507,Freightliner,3228841,A1,normal,37.639097,-120.996878,Modesto,California,75,0,0,,,,,1.0,0.0
20,A1,628507,Freightliner,3228841,A1,normal,32.715329,-117.157255,San Diego,California,23,0,0,SD,San Diego,9164.0,615.3,1.2978709572566227,0.0
21,A1,628507,Freightliner,3228841,A1,normal,39.017396,-122.057748,Arbuckle,California,34,0,0,,,,,1.0,0.0
22,A1,628507,Freightliner,3228841,A1,normal,32.715329,-117.157255,San Diego,California,35,0,0,SD,San Diego,9164.0,615.3,1.2978709572566227,0.0
23,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,68,0,0,,,,,1.0,0.0
24,A1,628507,Freightliner,3228841,A1,normal,38.130197,-121.272447,Lodi,California,73,0,0,,,,,1.0,0.0
25,A1,628507,Freightliner,3228841,A1,normal,37.005782,-121.568275,Gilroy,California,61,0,0,,,,,1.0,0.0
26,A1,628507,Freightliner,3228841,A1,normal,38.130197,-121.272447,Lodi,California,0,0,1,,,,,1.0,0.0
27,A1,628507,Freightliner,3228841,A1,normal,38.130197,-121.272447,Lodi,California,58,0,0,,,,,1.0,0.0
28,A1,628507,Freightliner,3228841,A1,normal,38.693723,-119.779683,Markleeville,California,70,0,0,,,,,1.0,0.0
29,A1,628507,Freightliner,3228841,A1,normal,38.693723,-119.779683,Markleeville,California,15,0,0,,,,,1.0,0.0
30,A1,628507,Freightliner,3228841,A1,normal,38.716687,-121.364422,Antelope,California,0,0,1,,,,,1.0,0.0
31,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,16,0,0,,,,,1.0,0.0
32,A1,628507,Freightliner,3228841,A1,normal,32.715329,-117.157255,San Diego,California,66,0,0,SD,San Diego,9164.0,615.3,1.2978709572566227,0.0
33,A1,628507,Freightliner,3228841,A1,normal,32.715329,-117.157255,San Diego,California,54,0,0,SD,San Diego,9164.0,615.3,1.2978709572566227,0.0
34,A1,628507,Freightliner,3228841,A1,normal,38.693723,-119.779683,Markleeville,California,20,0,0,,,,,1.0,0.0
35,A1,628507,Freightliner,3228841,A1,normal,38.440467,-122.714431,Santa Rosa,California,75,0,0,,,,,1.0,0.0
36,A1,628507,Freightliner,3228841,A1,normal,39.017396,-122.057748,Arbuckle,California,43,0,0,,,,,1.0,0.0
37,A1,628507,Freightliner,3228841,A1,lane departure,38.440467,-122.714431,Santa Rosa,California,24,1,0,,,,,1.0,1.0
38,A1,628507,Freightliner,3228841,A1,normal,34.106676,-117.806726,San Dimas,California,19,0,0,,,,,1.0,0.0
39,A1,628507,Freightliner,3228841,A1,normal,38.440467,-122.714431,Santa Rosa,California,60,0,0,,,,,1.0,0.0
40,A1,628507,Freightliner,3228841,A1,normal,35.098865,-120.612393,Oceano,California,53,0,0,,,,,1.0,0.0
41,A1,628507,Freightliner,3228841,A1,normal,34.106676,-117.806726,San Dimas,California,0,0,1,,,,,1.0,0.0
42,A1,628507,Freightliner,3228841,A1,normal,38.130197,-121.272447,Lodi,California,65,0,0,,,,,1.0,0.0
43,A1,628507,Freightliner,3228841,A1,normal,39.017396,-122.057748,Arbuckle,California,60,0,0,,,,,1.0,0.0
44,A1,628507,Freightliner,3228841,A1,normal,38.440467,-122.714431,Santa Rosa,California,16,0,0,,,,,1.0,0.0
45,A1,628507,Freightliner,3228841,A1,normal,35.098865,-120.612393,Oceano,California,56,0,0,,,,,1.0,0.0
46,A1,628507,Freightliner,3228841,A1,normal,32.715329,-117.157255,San Diego,California,17,0,0,SD,San Diego,9164.0,615.3,1.2978709572566227,0.0
47,A1,628507,Freightliner,3228841,A1,normal,38.693723,-119.779683,Markleeville,California,33,0,0,,,,,1.0,0.0
48,A1,628507,Freightliner,3228841,A1,lane departure,36.977173,-121.899402,Aptos,California,74,1,0,,,,,1.0,1.0
49,A1,628507,Freightliner,3228841,A1,normal,41.526509,-124.038407,Klamath,California,70,0,0,,,,,1.0,0.0
50,A1,628507,Freightliner,3228841,A1,normal,32.715329,-117.157255,San Diego,California,0,0,1,SD,San Diego,9164.0,615.3,1.2978709572566227,0.0
51,A1,628507,Freightliner,3228841,A1,normal,32.715329,-117.157255,San Diego,California,47,0,0,SD,San Diego,9164.0,615.3,1.2978709572566227,0.0
52,A1,628507,Freightliner,3228841,A1,normal,37.639097,-120.996878,Modesto,California,41,0,0,,,,,1.0,0.0
53,A1,628507,Freightliner,3228841,A1,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1,,,,,1.0,0.0
54,A1,628507,Freightliner,3228841,A1,normal,37.005782,-121.568275,Gilroy,California,33,0,0,,,,,1.0,0.0
55,A1,628507,Freightliner,3228841,A1,normal,37.005782,-121.568275,Gilroy,California,58,0,0,,,,,1.0,0.0
56,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,27,0,0,,,,,1.0,0.0
57,A1,628507,Freightliner,3228841,A1,normal,34.106676,-117.806726,San Dimas,California,18,0,0,,,,,1.0,0.0
58,A1,628507,Freightliner,3228841,A1,normal,36.977173,-121.899402,Aptos,California,25,0,0,,,,,1.0,0.0
59,A1,628507,Freightliner,3228841,A1,normal,36.977173,-121.899402,Aptos,California,17,0,0,,,,,1.0,0.0
60,A1,628507,Freightliner,3228841,A1,normal,38.130197,-121.272447,Lodi,California,60,0,0,,,,,1.0,0.0
61,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,0,0,1,,,,,1.0,0.0
62,A1,628507,Freightliner,3228841,A1,normal,38.693723,-119.779683,Markleeville,California,51,0,0,,,,,1.0,0.0
63,A1,628507,Freightliner,3228841,A1,normal,38.297538,-122.286865,Napa,California,0,0,1,NAP,Napa,665.0,111.9,1.1188561215370867,0.0
64,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,23,0,0,,,,,1.0,0.0
65,A1,628507,Freightliner,3228841,A1,normal,34.579434,-118.116461,Palmdale,California,0,0,1,,,,,1.0,0.0
66,A1,628507,Freightliner,3228841,A1,normal,38.297538,-122.286865,Napa,California,75,0,0,NAP,Napa,665.0,111.9,1.1188561215370867,0.0
67,A1,628507,Freightliner,3228841,A1,normal,35.098865,-120.612393,Oceano,California,54,0,0,,,,,1.0,0.0
68,A1,628507,Freightliner,3228841,A1,normal,39.017396,-122.057748,Arbuckle,California,32,0,0,,,,,1.0,0.0
69,A1,628507,Freightliner,3228841,A1,normal,41.526509,-124.038407,Klamath,California,62,0,0,,,,,1.0,0.0
70,A1,628507,Freightliner,3228841,A1,normal,34.106676,-117.806726,San Dimas,California,0,0,1,,,,,1.0,0.0
71,A1,628507,Freightliner,3228841,A1,normal,35.098865,-120.612393,Oceano,California,69,0,0,,,,,1.0,0.0
72,A1,628507,Freightliner,3228841,A1,normal,37.005782,-121.568275,Gilroy,California,33,0,0,,,,,1.0,0.0
73,A1,628507,Freightliner,3228841,A1,normal,36.977173,-121.899402,Aptos,California,37,0,0,,,,,1.0,0.0
74,A1,628507,Freightliner,3228841,A1,normal,38.440467,-122.714431,Santa Rosa,California,45,0,0,,,,,1.0,0.0
75,A1,628507,Freightliner,3228841,A1,normal,38.130197,-121.272447,Lodi,California,0,0,1,,,,,1.0,0.0
76,A1,628507,Freightliner,3228841,A1,normal,37.639097,-120.996878,Modesto,California,55,0,0,,,,,1.0,0.0
77,A1,628507,Freightliner,3228841,A1,normal,37.639097,-120.996878,Modesto,California,51,0,0,,,,,1.0,0.0
78,A1,628507,Freightliner,3228841,A1,normal,38.693723,-119.779683,Markleeville,California,40,0,0,,,,,1.0,0.0
79,A1,628507,Freightliner,3228841,A1,normal,38.130197,-121.272447,Lodi,California,0,0,1,,,,,1.0,0.0
80,A2,664543,Ford,12941439,A2,normal,32.61768,-116.187424,Jacumba,California,50,0,0,,,,,1.0,0.0
81,A2,664543,Ford,12941439,A2,normal,33.19587,-117.379483,Oceanside,California,20,0,0,,,,,1.0,0.0
82,A2,664543,Ford,12941439,A2,normal,39.017396,-122.057748,Arbuckle,California,39,0,0,,,,,1.0,0.0
83,A2,664543,Ford,12941439,A2,normal,33.19587,-117.379483,Oceanside,California,16,0,0,,,,,1.0,0.0
84,A2,664543,Ford,12941439,A2,normal,33.19587,-117.379483,Oceanside,California,23,0,0,,,,,1.0,0.0
85,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,52,0,0,,,,,1.0,0.0
86,A2,664543,Ford,12941439,A2,normal,34.106676,-117.806726,San Dimas,California,0,0,1,,,,,1.0,0.0
87,A2,664543,Ford,12941439,A2,normal,38.805462,-123.017223,Cloverdale,California,17,0,0,,,,,1.0,0.0
88,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,75,0,0,,,,,1.0,0.0
89,A2,664543,Ford,12941439,A2,normal,37.941325,-122.484704,San Quentin,California,46,0,0,,,,,1.0,0.0
90,A2,664543,Ford,12941439,A2,normal,32.61768,-116.187424,Jacumba,California,58,0,0,,,,,1.0,0.0
91,A2,664543,Ford,12941439,A2,normal,32.61768,-116.187424,Jacumba,California,0,0,1,,,,,1.0,0.0
92,A2,664543,Ford,12941439,A2,normal,32.61768,-116.187424,Jacumba,California,56,0,0,,,,,1.0,0.0
93,A2,664543,Ford,12941439,A2,normal,40.761243,-123.994778,Kneeland,California,48,0,0,,,,,1.0,0.0
94,A2,664543,Ford,12941439,A2,normal,38.36408,-122.524149,Glen Ellen,California,44,0,0,,,,,1.0,0.0
95,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,69,0,0,,,,,1.0,0.0
96,A2,664543,Ford,12941439,A2,normal,34.106676,-117.806726,San Dimas,California,22,0,0,,,,,1.0,0.0
97,A2,664543,Ford,12941439,A2,normal,38.36408,-122.524149,Glen Ellen,California,38,0,0,,,,,1.0,0.0
98,A2,664543,Ford,12941439,A2,normal,38.752124,-121.288006,Roseville,California,44,0,0,,,,,1.0,0.0
99,A2,664543,Ford,12941439,A2,normal,36.471865,-6.196595,San Fernando,California,0,0,1,,,,,1.0,0.0
100,A2,664543,Ford,12941439,A2,normal,38.805462,-123.017223,Cloverdale,California,44,0,0,,,,,1.0,0.0
101,A2,664543,Ford,12941439,A2,normal,38.805462,-123.017223,Cloverdale,California,36,0,0,,,,,1.0,0.0
102,A2,664543,Ford,12941439,A2,normal,36.471865,-6.196595,San Fernando,California,54,0,0,,,,,1.0,0.0
103,A2,664543,Ford,12941439,A2,normal,38.752124,-121.288006,Roseville,California,0,0,1,,,,,1.0,0.0
104,A2,664543,Ford,12941439,A2,normal,38.440467,-122.714431,Santa Rosa,California,66,0,0,,,,,1.0,0.0
105,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,0,0,1,,,,,1.0,0.0
106,A2,664543,Ford,12941439,A2,normal,33.19587,-117.379483,Oceanside,California,50,0,0,,,,,1.0,0.0
107,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,59,0,0,,,,,1.0,0.0
108,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,16,0,0,,,,,1.0,0.0
109,A2,664543,Ford,12941439,A2,normal,34.106676,-117.806726,San Dimas,California,43,0,0,,,,,1.0,0.0
110,A2,664543,Ford,12941439,A2,normal,37.941325,-122.484704,San Quentin,California,61,0,0,,,,,1.0,0.0
111,A2,664543,Ford,12941439,A2,normal,33.683947,-117.794694,Irvine,California,37,0,0,,,,,1.0,0.0
112,A2,664543,Ford,12941439,A2,lane departure,39.017396,-122.057748,Arbuckle,California,24,1,0,,,,,1.0,1.0
113,A2,664543,Ford,12941439,A2,normal,33.19587,-117.379483,Oceanside,California,46,0,0,,,,,1.0,0.0
114,A2,664543,Ford,12941439,A2,normal,33.683947,-117.794694,Irvine,California,47,0,0,,,,,1.0,0.0
115,A2,664543,Ford,12941439,A2,normal,40.761243,-123.994778,Kneeland,California,42,0,0,,,,,1.0,0.0
116,A2,664543,Ford,12941439,A2,normal,37.941325,-122.484704,San Quentin,California,33,0,0,,,,,1.0,0.0
117,A2,664543,Ford,12941439,A2,normal,34.106676,-117.806726,San Dimas,California,33,0,0,,,,,1.0,0.0
118,A2,664543,Ford,12941439,A2,normal,38.752124,-121.288006,Roseville,California,0,0,1,,,,,1.0,0.0
119,A2,664543,Ford,12941439,A2,normal,32.61768,-116.187424,Jacumba,California,28,0,0,,,,,1.0,0.0
120,A2,664543,Ford,12941439,A2,normal,33.19587,-117.379483,Oceanside,California,43,0,0,,,,,1.0,0.0
121,A2,664543,Ford,12941439,A2,normal,34.106676,-117.806726,San Dimas,California,27,0,0,,,,,1.0,0.0
122,A2,664543,Ford,12941439,A2,normal,33.683947,-117.794694,Irvine,California,0,0,1,,,,,1.0,0.0
123,A2,664543,Ford,12941439,A2,normal,38.36408,-122.524149,Glen Ellen,California,16,0,0,,,,,1.0,0.0
124,A2,664543,Ford,12941439,A2,normal,32.61768,-116.187424,Jacumba,California,0,0,1,,,,,1.0,0.0
125,A2,664543,Ford,12941439,A2,normal,38.805462,-123.017223,Cloverdale,California,26,0,0,,,,,1.0,0.0
126,A2,664543,Ford,12941439,A2,normal,39.017396,-122.057748,Arbuckle,California,46,0,0,,,,,1.0,0.0
127,A2,664543,Ford,12941439,A2,normal,38.805462,-123.017223,Cloverdale,California,63,0,0,,,,,1.0,0.0
128,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,25,0,0,,,,,1.0,0.0
129,A2,664543,Ford,12941439,A2,normal,37.957702,-121.29078,Stockton,California,26,0,0,,,,,1.0,0.0
130,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,19,0,0,,,,,1.0,0.0
131,A2,664543,Ford,12941439,A2,normal,38.36408,-122.524149,Glen Ellen,California,19,0,0,,,,,1.0,0.0
132,A2,664543,Ford,12941439,A2,normal,33.683947,-117.794694,Irvine,California,0,0,1,,,,,1.0,0.0
133,A2,664543,Ford,12941439,A2,normal,38.752124,-121.288006,Roseville,California,29,0,0,,,,,1.0,0.0
134,A2,664543,Ford,12941439,A2,normal,38.805462,-123.017223,Cloverdale,California,0,0,1,,,,,1.0,0.0
135,A2,664543,Ford,12941439,A2,normal,33.19587,-117.379483,Oceanside,California,57,0,0,,,,,1.0,0.0
136,A2,664543,Ford,12941439,A2,normal,38.752124,-121.288006,Roseville,California,40,0,0,,,,,1.0,0.0
137,A2,664543,Ford,12941439,A2,normal,34.106676,-117.806726,San Dimas,California,44,0,0,,,,,1.0,0.0
138,A2,664543,Ford,12941439,A2,normal,37.941325,-122.484704,San Quentin,California,0,0,1,,,,,1.0,0.0
139,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,71,0,0,,,,,1.0,0.0
140,A2,664543,Ford,12941439,A2,normal,37.941325,-122.484704,San Quentin,California,0,0,1,,,,,1.0,0.0
141,A2,664543,Ford,12941439,A2,normal,38.36408,-122.524149,Glen Ellen,California,29,0,0,,,,,1.0,0.0
142,A2,664543,Ford,12941439,A2,normal,33.683947,-117.794694,Irvine,California,21,0,0,,,,,1.0,0.0
143,A2,664543,Ford,12941439,A2,normal,38.805462,-123.017223,Cloverdale,California,42,0,0,,,,,1.0,0.0
144,A2,664543,Ford,12941439,A2,normal,37.957702,-121.29078,Stockton,California,0,0,1,,,,,1.0,0.0
145,A2,664543,Ford,12941439,A2,normal,36.471865,-6.196595,San Fernando,California,26,0,0,,,,,1.0,0.0
146,A2,664543,Ford,12941439,A2,normal,36.471865,-6.196595,San Fernando,California,0,0,1,,,,,1.0,0.0
147,A2,664543,Ford,12941439,A2,normal,36.471865,-6.196595,San Fernando,California,33,0,0,,,,,1.0,0.0
148,A2,664543,Ford,12941439,A2,normal,34.106676,-117.806726,San Dimas,California,22,0,0,,,,,1.0,0.0
149,A2,664543,Ford,12941439,A2,normal,32.61768,-116.187424,Jacumba,California,62,0,0,,,,,1.0,0.0
150,A2,664543,Ford,12941439,A2,normal,39.017396,-122.057748,Arbuckle,California,58,0,0,,,,,1.0,0.0
151,A2,664543,Ford,12941439,A2,normal,37.941325,-122.484704,San Quentin,California,27,0,0,,,,,1.0,0.0
152,A2,664543,Ford,12941439,A2,normal,34.435829,-119.827639,Goleta,California,17,0,0,,,,,1.0,0.0
153,A2,664543,Ford,12941439,A2,normal,37.941325,-122.484704,San Quentin,California,75,0,0,,,,,1.0,0.0
154,A2,664543,Ford,12941439,A2,normal,38.36408,-122.524149,Glen Ellen,California,35,0,0,,,,,1.0,0.0
155,A2,664543,Ford,12941439,A2,normal,37.441883,-122.143019,Palo Alto,California,0,0,1,,,,,1.0,0.0
156,A2,664543,Ford,12941439,A2,normal,36.471865,-6.196595,San Fernando,California,0,0,1,,,,,1.0,0.0
157,A2,664543,Ford,12941439,A2,normal,34.435829,-119.827639,Goleta,California,65,0,0,,,,,1.0,0.0
158,A2,664543,Ford,12941439,A2,normal,39.017396,-122.057748,Arbuckle,California,18,0,0,,,,,1.0,0.0
159,A2,664543,Ford,12941439,A2,normal,38.36408,-122.524149,Glen Ellen,California,0,0,1,,,,,1.0,0.0
160,A3,639584,Ford,12941439,A3,normal,38.019366,-122.134132,Martinez,California,0,0,1,,,,,1.0,0.0
161,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,44,0,0,,,,,1.0,0.0
162,A3,639584,Ford,12941439,A3,normal,39.150171,-123.207783,Ukiah,California,18,0,0,,,,,1.0,0.0
163,A3,639584,Ford,12941439,A3,normal,34.44805,-119.242889,Ojai,California,70,0,0,,,,,1.0,0.0
164,A3,639584,Ford,12941439,A3,normal,38.019366,-122.134132,Martinez,California,42,0,0,,,,,1.0,0.0
165,A3,639584,Ford,12941439,A3,normal,39.150171,-123.207783,Ukiah,California,0,0,1,,,,,1.0,0.0
166,A3,639584,Ford,12941439,A3,normal,37.77493,-122.419416,San Francisco,California,0,0,1,SF,San Francisco,1712.0,33.5,2.022089552238806,0.0
167,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1,,,,,1.0,0.0
168,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,16,0,0,,,,,1.0,0.0
169,A3,639584,Ford,12941439,A3,normal,34.44805,-119.242889,Ojai,California,42,0,0,,,,,1.0,0.0
170,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1,,,,,1.0,0.0
171,A3,639584,Ford,12941439,A3,normal,38.161861,-121.611621,Isleton,California,74,0,0,,,,,1.0,0.0
172,A3,639584,Ford,12941439,A3,normal,38.019366,-122.134132,Martinez,California,54,0,0,,,,,1.0,0.0
173,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,29,0,0,,,,,1.0,0.0
174,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,22,0,0,,,,,1.0,0.0
175,A3,639584,Ford,12941439,A3,normal,36.471865,-6.196595,San Fernando,California,0,0,1,,,,,1.0,0.0
176,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1,,,,,1.0,0.0
177,A3,639584,Ford,12941439,A3,normal,36.471865,-6.196595,San Fernando,California,43,0,0,,,,,1.0,0.0
178,A3,639584,Ford,12941439,A3,normal,36.471865,-6.196595,San Fernando,California,71,0,0,,,,,1.0,0.0
179,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,45,0,0,,,,,1.0,0.0
180,A3,639584,Ford,12941439,A3,normal,39.409608,-123.355566,Willits,California,36,0,0,,,,,1.0,0.0
181,A3,639584,Ford,12941439,A3,normal,37.77493,-122.419416,San Francisco,California,47,0,0,SF,San Francisco,1712.0,33.5,2.022089552238806,0.0
182,A3,639584,Ford,12941439,A3,unsafe following distance,39.150171,-123.207783,Ukiah,California,31,1,0,,,,,1.0,1.0
183,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,68,0,0,,,,,1.0,0.0
184,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,60,0,0,,,,,1.0,0.0
185,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,27,0,0,,,,,1.0,0.0
186,A3,639584,Ford,12941439,A3,normal,40.58654,-122.391675,Redding,California,0,0,1,,,,,1.0,0.0
187,A3,639584,Ford,12941439,A3,normal,40.58654,-122.391675,Redding,California,0,0,1,,,,,1.0,0.0
188,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,60,0,0,,,,,1.0,0.0
189,A3,639584,Ford,12941439,A3,normal,37.77493,-122.419416,San Francisco,California,0,0,1,SF,San Francisco,1712.0,33.5,2.022089552238806,0.0
190,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,58,0,0,,,,,1.0,0.0
191,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,66,0,0,,,,,1.0,0.0
192,A3,639584,Ford,12941439,A3,normal,38.799703,-121.720574,Knights Landing,California,38,0,0,,,,,1.0,0.0
193,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1,,,,,1.0,0.0
194,A3,639584,Ford,12941439,A3,normal,37.77493,-122.419416,San Francisco,California,29,0,0,SF,San Francisco,1712.0,33.5,2.022089552238806,0.0
195,A3,639584,Ford,12941439,A3,overspeed,39.150171,-123.207783,Ukiah,California,81,1,0,,,,,1.0,1.0
196,A3,639584,Ford,12941439,A3,lane departure,38.440467,-122.714431,Santa Rosa,California,41,1,0,,,,,1.0,1.0
197,A3,639584,Ford,12941439,A3,normal,34.44805,-119.242889,Ojai,California,0,0,1,,,,,1.0,0.0
198,A3,639584,Ford,12941439,A3,normal,36.471865,-6.196595,San Fernando,California,60,0,0,,,,,1.0,0.0
199,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,56,0,0,,,,,1.0,0.0
200,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,71,0,0,,,,,1.0,0.0
201,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,57,0,0,,,,,1.0,0.0
202,A3,639584,Ford,12941439,A3,normal,38.019366,-122.134132,Martinez,California,0,0,1,,,,,1.0,0.0
203,A3,639584,Ford,12941439,A3,normal,40.58654,-122.391675,Redding,California,21,0,0,,,,,1.0,0.0
204,A3,639584,Ford,12941439,A3,normal,37.77493,-122.419416,San Francisco,California,0,0,1,SF,San Francisco,1712.0,33.5,2.022089552238806,0.0
205,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,19,0,0,,,,,1.0,0.0
206,A3,639584,Ford,12941439,A3,normal,34.44805,-119.242889,Ojai,California,0,0,1,,,,,1.0,0.0
207,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,55,0,0,,,,,1.0,0.0
208,A3,639584,Ford,12941439,A3,normal,40.563763,-122.238892,Palo Cedro,California,55,0,0,,,,,1.0,0.0
209,A3,639584,Ford,12941439,A3,normal,38.019366,-122.134132,Martinez,California,74,0,0,,,,,1.0,0.0
210,A3,639584,Ford,12941439,A3,normal,39.150171,-123.207783,Ukiah,California,64,0,0,,,,,1.0,0.0
211,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1,,,,,1.0,0.0
212,A3,639584,Ford,12941439,A3,normal,36.471865,-6.196595,San Fernando,California,0,0,1,,,,,1.0,0.0
213,A3,639584,Ford,12941439,A3,normal,40.58654,-122.391675,Redding,California,67,0,0,,,,,1.0,0.0
214,A3,639584,Ford,12941439,A3,normal,38.161861,-121.611621,Isleton,California,18,0,0,,,,,1.0,0.0
215,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,25,0,0,,,,,1.0,0.0
216,A3,639584,Ford,12941439,A3,normal,40.58654,-122.391675,Redding,California,54,0,0,,,,,1.0,0.0
217,A3,639584,Ford,12941439,A3,normal,39.409608,-123.355566,Willits,California,0,0,1,,,,,1.0,0.0
218,A3,639584,Ford,12941439,A3,overspeed,38.440467,-122.714431,Santa Rosa,California,89,1,0,,,,,1.0,1.0
219,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,0,0,1,,,,,1.0,0.0
220,A3,639584,Ford,12941439,A3,normal,38.161861,-121.611621,Isleton,California,25,0,0,,,,,1.0,0.0
221,A3,639584,Ford,12941439,A3,normal,37.77493,-122.419416,San Francisco,California,64,0,0,SF,San Francisco,1712.0,33.5,2.022089552238806,0.0
222,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,39,0,0,,,,,1.0,0.0
223,A3,639584,Ford,12941439,A3,overspeed,40.58654,-122.391675,Redding,California,79,1,0,,,,,1.0,1.0
224,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,42,0,0,,,,,1.0,0.0
225,A3,639584,Ford,12941439,A3,normal,38.440467,-122.714431,Santa Rosa,California,24,0,0,,,,,1.0,0.0
